InferredClassAssertionAxiomGenerator -> La instancia 'Análisis_de_Datos' pertenece a la clase 'entrevista'
InferredClassAssertionAxiomGenerator -> La instancia 'Diferencias_de_género_en_el_bienestar_de_personas_mayores_que_viven_solas' pertenece a la clase 'reformulacion'
InferredClassAssertionAxiomGenerator -> La instancia '__2022' pertenece a la clase 'respuesta_a_entrevista'
InferredClassAssertionAxiomGenerator -> La instancia 'Encuesta_de_Generaciones_y_Género_2022' pertenece a la clase 'sujeto_u_objeto'
InferredClassAssertionAxiomGenerator -> La instancia 'reg2_no_accesible' pertenece a la clase 'respuesta_a_entrevista'
InferredClassAssertionAxiomGenerator -> La instancia 'Revisión_Bibliográfica' pertenece a la clase 'entrevista'
InferredClassAssertionAxiomGenerator -> La instancia 'Análisis_de_Datos' pertenece a la clase 'bibliografia'
InferredClassAssertionAxiomGenerator -> La instancia 'Revisión_Bibliográfica' pertenece a la clase 'tecnica'
InferredPropertyAssertionGenerator -> La instancia 'Revisión_Bibliográfica' tiene la relación 'Tiene_respuestas' con 'reg2_no_accesible'
InferredPropertyAssertionGenerator -> La instancia '__2022' tiene la relación 'Responde_a_entrevista' con 'Análisis_de_Datos'
InferredPropertyAssertionGenerator -> La instancia 'idd2_2' tiene la relación 'Relacionado_a_registro' con 'reg2_no_accesible'
InferredPropertyAssertionGenerator -> La instancia 'idd1_2' tiene la relación 'Relacionado_a_registro' con '__2022'
InferredPropertyAssertionGenerator -> La instancia 'Análisis_de_Datos' tiene la relación 'Se_aplica_en' con 'Personas_mayores_de_65_años_en_Uruguay_que_viven_solas'
InferredPropertyAssertionGenerator -> La instancia 'Revisión_Bibliográfica' tiene la relación 'Se_aplica_en' con 'Encuesta_de_Generaciones_y_Género_2022'
InferredPropertyAssertionGenerator -> La instancia '__2022' tiene la relación 'Es_generado_por' con 'tssuo1_2'
InferredPropertyAssertionGenerator -> La instancia 'reg2_no_accesible' tiene la relación 'Responde_a_entrevista' con 'Revisión_Bibliográfica'
InferredPropertyAssertionGenerator -> La instancia 'tssuo2_2' tiene la relación 'Relacionado_a_tecnica' con 'Revisión_Bibliográfica'
InferredPropertyAssertionGenerator -> La instancia 'tssuo1_2' tiene la relación 'Relacionado_a_tecnica' con 'Análisis_de_Datos'
InferredPropertyAssertionGenerator -> La instancia 'Análisis_de_Datos' tiene la relación 'Tiene_respuestas' con '__2022'
InferredPropertyAssertionGenerator -> La instancia 'reg2_no_accesible' tiene la relación 'Es_generado_por' con 'tssuo2_2'
